1.071, 0.619, 1.000, 0.552, 0.051, 0.400, 0  
2.098, 0.151, 0.006, 0.769, 0.213, 0.004, 0  
2.341, 0.178, 0.405, 0.26, 0.4, 0.032, 0  
11.750, 0.102, 0.090, 0.286, 0.018, 0.067, 0   
1.309, 0.041, 0.000, 0.355, 0.88, 0.001, 0  
1.667, 0.683, 0.532, 0.342, 0.019, 0.429, 0  
4.000, 0.457, 0.394, 0.416, 0.729, 0.178, 0  
1.071, 0.657, 1.000, 0.552, 0.051, 0.533, 0  
3.775, 0.121, 0.036, 0.783, 0.178, 0.195, 0  
2.100, 0.187, 0.000, 0.975, 0.25, 0.053, 0  
1.857, 0.090, 0.000, 0.241, 0.042, 0.060, 0  
9.800, 0.095, 0.085, 0.323, 0.017, 0.139, 0  
1.000, 0.500, 0.395, 0.404, 0.306, 0.500, 0   
1.143, 0.683, 1.000, 0.552, 0.051, 0.533, 0  
2.636, 0.277, 0.615, 0.579, 0.974, 0.063, 0  
1.804, 0.071, 0.268, 0.634, 0.898, 0.003, 0  
5.654, 0.102, 0.032, 0.275, 0.013, 0.052, 0  
1.111, 0.433, 0.384, 0.342, 0.016, 0.300, 0   
1.071, 0.619, 1.000, 0.552, 0.051, 0.333, 0  
2.500, 0.378, 0.324, 0.571, 0.248, 0.238, 0  
1.508, 0.092, 0.304, 0.62, 0.916, 0.000, 0  
5.267, 0.048, 0.000, 0.271, 0.024, 0.047, 0  
0.875, 0.500, 0.429, 0.341, 0.018, 0.333, 0  
1.000, 0.531, 0.531, 0.399, 0.051, 0.562, 0  
9.400, 0.118, 0.106, 0.285, 0.017, 0.024, 0  
1.111, 0.589, 0.535, 0.342, 0.017, 0.550, 0  
0.625, 0.562, 0.481, 0.402, 0.896, 0.441, 0   
1.071, 0.662, 1.000, 0.552, 0.051, 0.467, 0  
0.375, 0.615, 0.496, 0.553, 0.263, 0.294, 0  
4.000, 0.138, 0.067, 0.826, 0.106, 0.155, 0  
0.968, 0.203, 0.347, 0.821, 0.234, 0.238, 0  
2.000, 0.163, 0.000, 0.979, 0.142, 0.053, 0  
5.161, 0.055, 0.000, 0.272, 0.025, 0.072, 0  
1.000, 0.490, 0.405, 0.342, 0.017, 0.364, 0  
0.857, 0.500, 0.429, 0.565, 0.051, 0.250, 0  
9.800, 0.127, 0.114, 0.285, 0.017, 0.109, 0  
1.250, 0.450, 0.364, 0.342, 0.018, 0.333, 0  
2.333, 0.098, 0.212, 0.47, 0.402, 0.023, 0  
1.071, 0.667, 1.000, 0.552, 0.051, 0.489, 0  
1.833, 0.151, 0.307, 0.617, 0.877, 0.012, 0  
2.000, 0.180, 0.000, 0.974, 0.178, 0.077, 0  
5.000, 0.054, 0.000, 0.272, 0.025, 0.076, 0  
1.333, 0.271, 0.000, 0.246, 0.929, 0.077, 0  
1.000, 0.560, 0.463, 0.342, 0.017, 0.545, 0   
4.375, 0.393, 0.349, 0.01, 0.123, 0.222, 0  
1.667, 0.500, 0.390, 0.035, 0.28, 0.357, 0  
9.294, 0.064, 0.079, 0.272, 0.021, 0.019, 0  
1.111, 0.244, 0.222, 0.298, 0.352, 0.050, 0  
1.200, 0.467, 0.392, 0.341, 0.017, 0.091, 0  
2.000, 0.138, 0.491, 0.357, 0.378, 0.025, 0  
1.250, 0.612, 0.495, 0.342, 0.017, 0.333, 0  
1.000, 0.390, 0.322, 0.564, 0.048, 0.136, 0  
1.125, 0.472, 0.420, 0.579, 0.283, 0.444, 0  
0.750, 0.604, 0.460, 0.823, 0.379, 0.444, 0  
0.429, 0.464, 0.371, 0.902, 0.254, 0.333, 0  
3.419, 0.127, 0.000, 0.932, 0.077, 0.043, 0  
0.518, 0.112, 0.586, 0.975, 0.259, 0.005, 0  
9.800, 0.096, 0.086, 0.285, 0.017, 0.176, 0  
1.200, 0.458, 0.385, 0.341, 0.017, 0.182, 0  
1.143, 0.683, 1.000, 0.552, 0.051, 0.556, 0  
4.000, 0.448, 0.397, 0.558, 0.964, 0.318, 0  
2.733, 0.241, 0.277, 0.605, 0.878, 0.052, 0  
7.182, 0.058, 0.000, 0.272, 0.023, 0.083, 0  
1.667, 0.633, 0.494, 0.342, 0.017, 0.286, 0
1.333, 0.500, 0.381, 0.603, 0.05, 0.571, 0  
1.667, 0.296, 0.933, 0.918, 0.102, 0.103, 0  
0.889, 0.194, 0.280, 0.924, 0.243, 0.123, 0  
5.161, 0.042, 0.000, 0.272, 0.025, 0.029, 0  
1.667, 0.633, 0.494, 0.342, 0.019, 0.429, 0 
2.318, 0.061, 0.337, 0.626, 0.556, 0.028, 0  
1.167, 0.548, 0.429, 0.601, 0.05, 0.071, 0  
1.062, 0.364, 0.960, 0.623, 0.763, 0.000, 0   
5.750, 0.421, 0.366, 0.562, 0.708, 0.032, 0  
1.143, 0.500, 0.444, 0.603, 0.05, 0.562, 0  
0.669, 0.025, 0.003, 0.683, 0.541, 0.000, 0  
1.500, 0.245, 0.667, 0.745, 0.275, 0.154, 0  
2.050, 0.199, 0.000, 0.774, 0.178, 0.026, 0  
1.931, 0.170, 0.666, 0.905, 0.706, 0.055, 0  
1.250, 0.318, 0.949, 0.955, 0.889, 0.003, 0  
1.167, 0.595, 0.510, 0.953, 0.124, 0.500, 0  
1.062, 0.165, 0.248, 0.978, 0.568, 0.179, 0  
6.583, 0.057, 0.018, 0.272, 0.022, 0.023, 0  
0.667, 0.389, 0.317, 0.241, 0.715, 0.300, 0  
1.000, 0.594, 0.469, 0.341, 0.018, 0.389, 0  
0.714, 0.033, 0.000, 0.479, 0.171, 0.014, 0  
